                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4183,                 3.5136,                 1.5206,                0.62121,                0.82609,                0.75168,                0.51733,                 1.0124,                 4.8897,                 1.3017,                0.00022,                0.00022,                0.00022
                      2,                0.96532,                 1.4898,                 1.1297,                0.73184,                0.63768,                0.70721,                0.47741,                 1.0589,                 3.2999,                 1.4478,             0.00045954,             0.00045954,             0.00045954
                      3,                0.98582,                 1.1842,                 1.1673,                0.82165,                0.69565,                0.75799,                0.52263,                 1.1128,                 3.1189,                 1.4565,             0.00069861,             0.00069861,             0.00069861
                      4,                 0.9953,                 1.0002,                 1.1822,                0.77782,                0.65964,                0.71445,                0.47417,                 1.2769,                 2.0018,                 1.6464,             0.00093721,             0.00093721,             0.00093721
                      5,                 1.0061,                 1.0215,                 1.2131,                0.63088,                0.55072,                 0.4983,                0.31025,                 1.4736,                 2.4737,                 1.7937,              0.0011753,              0.0011753,              0.0011753
                      6,                 1.0586,                 1.0414,                 1.1981,                0.06131,                0.34783,                0.03985,                0.02144,                 1.8997,                  17.54,                 2.5803,               0.001413,               0.001413,               0.001413
                      7,                0.99451,                0.97032,                  1.157,                0.04935,                0.37681,                0.03942,                0.01956,                 1.9217,                 23.968,                 4.8947,              0.0016501,              0.0016501,              0.0016501
                      8,                 1.0403,                0.97249,                 1.2276,                 0.0812,                0.37681,                0.05037,                0.02806,                 1.7416,                 13.404,                 4.4755,              0.0018868,              0.0018868,              0.0018868
                      9,                 1.0726,                0.91734,                 1.2368,                0.06575,                0.02899,                0.00775,                0.00348,                 3.5498,                 7.5107,                 10.425,              0.0019842,              0.0019842,              0.0019842
                     10,                 1.0368,                0.84553,                 1.1964,                0.07896,                0.30435,                0.04432,                0.02035,                 2.1595,                 8.6987,                  2.324,              0.0019842,              0.0019842,              0.0019842
                     11,                 1.0385,                0.84809,                 1.2012,                0.49144,                0.28986,                0.28806,                0.10332,                 1.9948,                 3.9276,                 2.1164,              0.0019822,              0.0019822,              0.0019822
                     12,                0.97253,                0.79699,                 1.1524,                0.18725,                 0.2029,                0.08286,                 0.0281,                 2.7511,                 4.5589,                 3.2758,              0.0019802,              0.0019802,              0.0019802
                     13,                0.93914,                0.77329,                  1.151,                0.39023,                0.31884,                0.29854,                0.11662,                 1.7513,                 4.6367,                 1.9377,              0.0019782,              0.0019782,              0.0019782
                     14,                0.91802,                0.72855,                 1.1586,                0.71128,                0.55072,                0.65463,                0.39952,                 1.4302,                 1.9408,                 1.6977,              0.0019762,              0.0019762,              0.0019762
                     15,                 0.9185,                0.73242,                 1.1276,                0.69363,                0.72464,                0.64901,                0.38202,                 1.2973,                 2.1521,                 1.6146,              0.0019743,              0.0019743,              0.0019743
                     16,                0.96032,                0.77019,                 1.1513,                0.75096,                0.66667,                  0.729,                0.45174,                 1.3591,                 1.6469,                 1.7734,              0.0019723,              0.0019723,              0.0019723
                     17,                0.95505,                0.78348,                 1.1499,                0.64557,                0.63768,                0.62373,                0.30474,                 1.5826,                 2.7049,                 1.8502,              0.0019703,              0.0019703,              0.0019703
                     18,                0.91663,                0.78513,                 1.1349,                0.62334,                 0.6087,                0.60748,                0.33455,                 1.5687,                 1.9446,                 1.7865,              0.0019683,              0.0019683,              0.0019683
                     19,                0.95632,                0.75523,                 1.1754,                0.66492,                0.63768,                0.66389,                0.41268,                 1.3538,                 1.8625,                 1.5357,              0.0019663,              0.0019663,              0.0019663
                     20,                0.97027,                0.77319,                 1.1584,                0.70995,                 0.6087,                0.67961,                0.44216,                 1.2353,                 1.5656,                 1.5046,              0.0019644,              0.0019644,              0.0019644
                     21,                 0.9095,                0.70545,                 1.1338,                0.77346,                0.52174,                 0.5504,                0.27914,                 1.6113,                 1.8068,                 1.7696,              0.0019624,              0.0019624,              0.0019624
                     22,                0.91162,                0.70653,                 1.1294,                0.59874,                0.36232,                0.41791,                 0.2427,                 1.3677,                 2.0422,                 1.5137,              0.0019604,              0.0019604,              0.0019604
                     23,                0.88285,                0.69078,                 1.1149,                0.52116,                0.48903,                0.51533,                0.27898,                  1.479,                 1.7878,                 1.5549,              0.0019584,              0.0019584,              0.0019584
                     24,                 0.9238,                0.68181,                 1.1249,                0.80148,                0.42029,                0.50737,                0.27312,                 1.8845,                 2.0436,                 1.8368,              0.0019564,              0.0019564,              0.0019564
